word,stressed_letter,stressed_letter_index
кинза,и а,1 4
кисло-сладкий,и а,1 8
китайско-российский,а и,3 13
клаксон,а о,2 5
климат-контроль,и о,2 12
когда-либо,а и,4 7
когда-нибудь,а у,4 9
кое-где,о е,1 6
кое-как,о а,1 5
кое-какой,о о,1 7
кое-кто,о о,1 6
кое-что,о о,1 6
кожанка,о а,1 3
кока-кола,о о,1 6
колледж,о е,1 4
колок,о о,1 3
командно-административный,а и,3 20
командно-штабной,а о,3 14
коми-пермяк,о я,1 9
коми-пермяцкий,о я,1 9
компакт-диск,а и,4 9
конкистадор,а о,7 9
коновязь,о я,1 5
контрольно-измерительный,о и,5 16
контрольно-пропускной,о о,5 19
контрольно-ревизионный,о о,5 17
конференц-зал,е а,6 11
концепт-кар,е а,4 9
коротковолновый,о о,8 11
кошки-мышки,о ы,1 7
красно-коричневый,а и,2 10
красно-синий,а и,2 8
крепко-накрепко,е а,2 8
крест-накрест,е а,2 7
кроваво-красный,а а,4 10
круиз-контроль,и о,3 11
кубло,у о,1 4
куда-либо,а и,3 6
куда-нибудь,а у,3 8
кулинария,а и,5 7
культурно-бытовой,у о,5 13
культурно-исторический,у и,5 15
культурно-массовый,у а,5 11
культурно-просветительный,у и,5 17
купля-продажа,у а,1 10
Кушнер,у е,1 4
лавровый,а о,1 4
лемех,е е,1 3
ленинско-сталинский,е а,1 11
лечебно-оздоровительный,е и,3 15
лечебно-профилактический,е и,3 17
либерально-демократический,а и,5 19
литературно-критический,у и,7 16
литературно-художественный,у о,7 15
ломоть,о о,1 3
Луис,у и,1 2
луна-парк,у а,1 6
Лысенко,ы е,1 3
любисток,и о,3 6
любо-дорого,ю о,1 6
Макбет,а е,1 4
мало-мальски,а а,1 6
мало-помалу,а а,1 8
мальчиковый,а о,1 7
маркетинг,а е,1 4
маркетинговый,а е,1 4
Марко,а о,1 4
марксизм-ленинизм,и и,5 14
марксистско-ленинский,и е,5 13
маски-шоу,а о,1 7
мастер-класс,а а,1 9
мастерски,а и,1 8
Матвиенко,и е,4 5
материально-технический,а и,6 16
машинно-тракторный,и а,3 10
медико-биологический,е и,1 13
медико-социальный,е а,1 11
международно-правовой,о о,8 19
мельком,е о,1 5
механик-водитель,а и,3 11
меццо-сопрано,е а,1 10
мизерный,и е,1 3
микроволновый,о о,6 9
минерально-сырьевой,а о,5 17
мини-бар,и а,1 6
мини-завод,и о,1 8
мини-пекарня,и а,1 8
мини-рынок,и ы,1 6
мини-футбол,и о,1 9
мини-юбка,и ю,1 5
минно-взрывной,и о,1 12
минусовый,и о,1 5
Михал,и а,1 3
много-много,о о,2 8
молекулярно-биологический,я и,7 18
молочно-белый,о е,3 9
морально-нравственный,а а,3 11
морально-политический,а и,3 14
морально-психологический,а и,3 17
морально-этический,а и,3 11
Москва-река,а а,5 10
музей-заповедник,е е,3 11
мускулистый,у и,1 6
мюзик-холл,ю о,1 7
нажитое,а и,1 3
назло,а о,1 4
направо-налево,а е,4 11
народно-демократический,о и,3 16
народно-хозяйственный,о я,3 11
насосно-компрессорный,о е,3 13
научно-исследовательский,у е,2 11
научно-методический,у и,2 12
научно-образовательный,у а,2 14
научно-популярный,у я,2 12
научно-практический,у и,2 12
научно-производственный,у о,2 13
научно-технический,у и,2 11
научно-технологический,у и,2 15
научно-фантастический,у и,2 14
национал-большевик,а и,6 16
национал-патриот,а о,6 14
национал-патриотический,а и,6 16
национал-социализм,а и,6 15
национал-социалист,а и,6 15
национал-социалистический,а и,6 18
национально-государственный,а а,6 17
национально-культурный,а у,6 17
национально-освободительный,а и,6 19
национально-патриотический,а и,6 19
национально-территориальный,а а,6 21
нацменьшинство,и о,8 13
небесно-голубой,е о,3 13
невысоко,о о,5 7
неглубоко,о о,6 8
недвижимый,и и,4 6
нежно-голубой,е о,1 11
нежно-розовый,е о,1 7
немецко-фашистский,е и,3 11
ненормированный,и о,6 8
нервно-психический,е и,1 11
неумно,у о,2 5
нормативно-правовой,и о,6 17
нормативно-технический,и и,6 15
нормирование,и а,4 8
нормировать,и а,4 8
ноу-хау,о а,1 5
Ньютон,ю о,2 4
ньютоновский,ю о,2 4
обвязывать,я а,3 7
обер-лейтенант,о а,0 11
обер-прокурор,о о,0 11
обеспечение,е е,5 7
обнаружение,у е,5 7
оборонно-промышленный,о ы,4 13
образцово-показательный,о а,6 15
обрамить,а и,3 5
обрезание,е а,3 5
обрушение,у е,3 5
общественно-государственный,е а,3 17
общественно-политический,е и,3 17
община,о и,0 3
овен,о е,0 2
огненно-красный,о а,0 10
один-единственный,и и,2 7
одновременно,е е,6 8
одновременность,е е,6 8
одновременный,е е,6 8
окислительно-восстановительный,и и,5 22
окислить,и и,2 5
оленина,е и,2 4
омбудсмен,о е,0 7
оперативно-розыскной,и о,6 18
оперативно-тактический,и и,6 15
опорно-двигательный,о и,2 9
оптико-электронный,о о,0 13
опытно-конструкторский,о у,0 13
опытно-промышленный,о ы,0 11
опять-таки,я и,2 9
организационно-технический,о и,10 19
оруэлловский,о э,0 3
осенне-зимний,е и,2 8
Оскар,О а,0 3
откуда-нибудь,у у,3 10
отсвет,о е,0 4
очень-очень,о о,0 6
Павловский,а о,1 4
палестино-израильский,и а,6 13
папье-маше,е е,4 9
парашютно-десантный,ю а,5 13
партийно-государственный,и а,4 14
партийно-хозяйственный,и я,4 12
патина,а и,1 3
патрульно-постовой,у о,4 16
пепельно-серый,е е,1 10
пепси-кола,е о,1 7
перекати-поле,и о,7 10
петля,е я,1 4
пешня,е я,1 4
пиар-кампания,а а,2 9
Пикассо,а о,3 6
пиццерия,е и,4 6
плодово-ягодный,о я,4 8
поверхностно-активный,е и,3 16
погрузочно-разгрузочный,у у,4 16
подобру-поздорову,у о,6 14
подростковый,о о,4 8
поисково-разведочный,о е,5 13
поисково-спасательный,о а,5 13
политико-экономический,и и,3 15
полуночный,у о,3 5
полшага,а а,4 6
поржаветь,а е,4 6
послушник,о у,1 4
послушница,о у,1 4
постольку-поскольку,о о,4 14
поул-позишн,о и,1 8
почему-либо,у и,5 8
пошиб,о и,1 3
прайм-тайм,а а,2 7
премьер-министр,е и,5 11
приват-доцент,а е,4 10
пригоршня,и о,2 4
природно-климатический,о и,4 15
природно-ресурсный,о у,4 12
пристав-исполнитель,и и,2 14
причинно-следственный,и е,4 11
проблемно-ориентированный,е и,5 16
программно-аппаратный,а а,5 16
программно-целевой,а о,5 16
проектно-конструкторский,е у,3 15
производственно-технологический,о и,6 24
просто-напросто,о а,2 8
пространственно-временной,а о,6 23
профессионально-технический,а и,10 20
профессорско-преподавательский,е а,4 21
проясниться,я и,3 6
прямо-таки,я и,2 9
психолого-педагогический,о и,4 17
пузыриться,ы и,3 5
пурпурный,у у,1 4
рабоче-крестьянский,о я,3 13
раджа,а а,1 4
радиотехника,а е,1 6
разведывательно-диверсионный,е о,4 23
ракета-носитель,е и,3 10
ракетно-артиллерийский,е и,3 16
ракетно-космический,е и,3 12
ракетно-ядерный,е я,3 8
ракушка,а у,1 3
резус-фактор,е а,1 7
религиозно-нравственный,о а,6 13
религиозно-политический,о и,6 16
рефери,е и,1 5
ржаветь,а е,2 4
Римский-Корсаков,и о,1 9
римско-католический,и и,1 12
роженица,е и,3 5
рок-н-ролл,о о,1 7
рок-н-ролльный,о о,1 7
российско-американский,и а,4 16
российско-белорусский,и у,4 15
российско-германский,и а,4 14
российско-грузинский,и и,4 14
российско-израильский,и а,4 13
российско-китайский,и а,4 13
российско-украинский,и и,4 14
российско-чеченский,и е,4 13
российско-японский,и о,4 12
Ростов-на-Дону,о у,4 13
русско-турецкий,у е,1 10
русско-японский,у о,1 9
рыкать,ы а,1 3
рыкнуть,ы у,1 4
саднить,а и,1 4
садово-огородный,о о,3 11
садово-парковый,о а,3 8
сальто-мортале,а а,1 11
самый-самый,а а,1 7
санаторно-курортный,о о,5 13
санитарно-гигиенический,а и,5 16
санитарно-эпидемиологический,а и,5 21
светло-голубой,е о,2 12
светло-коричневый,е и,2 10
светло-розовый,е о,2 8
светло-русый,е у,2 8
светло-серый,е е,2 8
сгрудиться,у и,3 5
северо-восток,е о,1 11
северо-восточный,е о,1 11
северо-запад,е а,1 8
северо-западный,е а,1 8
северо-кавказский,е а,1 11
сердечно-сосудистый,е у,4 12
сестра-хозяйка,а я,5 10
сиднейский,и е,1 4
скатерть-самобранка,а а,2 15
сколько-нибудь,о у,2 11
сколь-нибудь,о у,2 9
Смирнов,и о,2 5
снежно-белый,е е,2 8
сноровистый,о и,4 6
советско-американский,е а,3 15
советско-германский,е а,3 13
советско-китайский,е а,3 12
социал-демократ,а а,4 13
социал-демократический,а и,4 15
социал-демократия,а а,4 13
социально-бытовой,а о,4 15
социально-демографический,а и,4 18
социально-культурный,а у,4 15
социально-политический,а и,4 15
социально-психологический,а и,4 18
социально-трудовой,а о,4 16
социально-экологический,а и,4 16
социально-экономический,а и,4 16
сполох,о о,2 4
спортивно-оздоровительный,и и,5 17
сравнительно-исторический,и и,5 18
стажироваться,и а,4 8
статус-кво,а о,2 9
Стефан,е а,2 4
строго-настрого,о а,3 8
строительно-монтажный,и а,4 16
стропа,о а,3 5
структурно-функциональный,у а,6 19
стюард,ю а,2 3
судебно-медицинский,е и,3 13
судебно-правовой,е о,3 14
судебно-психиатрический,е и,3 16
счастливо,а и,2 6
такой-сякой,о о,3 9
тактико-технический,а и,1 12
тандем,а е,1 4
татаро-монгольский,а о,3 11
творог,о о,2 4
театр-студия,а у,2 8
телефон-автомат,о а,5 13
теоретико-методологический,е и,4 19
тет-а-тет,е е,1 7
технико-экономический,е и,1 14
товарно-денежный,а е,3 9
товарно-материальный,а а,3 14
только-только,о о,1 8
топливно-энергетический,о и,1 16
торгово-промышленный,о ы,4 12
торгово-экономический,о и,4 14
точь-в-точь,о о,1 8
травник,а и,2 5
транспортно-логистический,а и,2 18
транспортно-экспедиционный,а о,2 21
трапезная,а е,2 4
туда-обратно,а а,3 8
туда-сюда,а а,3 8
тупик,у и,1 3
тутти-фрутти,у у,1 8
тю-тю,ю ю,1 4
уголовно-исполнительный,о и,4 15
уголовно-правовой,о о,4 15
уголовно-процессуальный,о а,4 17
уик-энд,и э,1 4
ум-разум,у а,0 4
унтер-офицер,у е,0 10
унтер-офицерский,у е,0 10
условно-досрочный,о о,3 12
усовершенствовать,е а,7 14
усугубить,у и,4 6
утилита,и и,2 4
учебно-боевой,е о,2 11
учебно-воспитательный,е а,2 13
учебно-методический,е и,2 12
учебно-тренировочный,е о,2 13
ушко,у о,0 3
фабрично-заводской,и о,4 12
фанза,а а,1 4
фейхоа,о а,4 5
Фигаро,и о,1 5
физико-географический,и и,1 14
физико-математический,и и,1 14
физико-технический,и и,1 11
физико-химический,и и,1 10
финансово-промышленный,а ы,3 14
финансово-хозяйственный,а я,3 13
финансово-экономический,а и,3 16
финно-угорский,и о,1 8
фирма-производитель,и и,1 14
фитнес-клуб,и у,1 9
фитнес-центр,и е,1 8
фланговый,а о,2 5
флигель-адъютант,и а,2 13
фокус-группа,о у,1 8
ханты-мансийский,а и,1 10
хиротония,о и,5 7
хитро,и о,1 4
худо-бедно,у е,1 6
целлюлозно-бумажный,о а,6 14
церковно-государственный,о а,4 14
чарльстон,а о,1 7
чау-чау,а а,1 5
чей-нибудь,е у,1 7
черепно-мозговой,е о,1 14
чифир,и и,1 3
член-корреспондент,е е,2 15
чудо-юдо,у ю,1 5
шиворот-навыворот,и ы,1 11
широко,о о,3 5
шито-крыто,и ы,1 7
школа-интернат,о а,2 12
шоу-бизнес,о и,1 5
шуры-муры,у у,1 6
щавель,а е,1 3
Эдгар,Э а,0 3
экзальтированный,и о,7 9
экономико-математический,о и,4 17
экспортно-импортный,э и,0 10
экстра-класс,э а,0 9
электронно-вычислительный,о и,6 17
электронно-микроскопический,о и,6 20
Элизабет,и е,2 6
энергообеспечение,е е,11 13
энцефалопатия,а и,9 11
юго-восток,ю о,0 8
юго-восточный,ю о,0 8
юго-запад,ю а,0 5
юго-западный,ю а,0 5
юркнуть,ю у,0 4
ягодица,я и,0 4
Якобсон,Я о,0 5
Ямало-Ненецкий,а е,2 7
ярко-голубой,я о,0 10
ярко-красный,я а,0 7
ярко-оранжевый,я а,0 7
ярко-розовый,я о,0 6
ярко-синий,я и,0 6
яхт-клуб,я у,0 6
