authors_1_firstName,authors_1_id,authors_1_lastName,authors_1_middleName,authors_1_url,authors_2_firstName,authors_2_id,authors_2_lastName,authors_2_middleName,authors_2_url,authors_3_firstName,authors_3_id,authors_3_lastName,authors_3_middleName,authors_3_url,authors_4_firstName,authors_4_id,authors_4_lastName,authors_4_middleName,authors_4_url,bestseller,binding,category_id,category_slug,category_title,category_url,code,description,discount,exclusive,id,inSubscription,isBook,isBookmarks,new,oldPrice,originalPicture,pages,picture,preOrderDate,price,publisher_id,publisher_slug,publisher_title,rating_count,rating_votes,recommended,sale,saleSoon,startSale,startSaleDesc,status,title,url,yearPublishing
Антон,74284,Макаренко,Семенович,makarenko-anton,,,,,,,,,,,,,,,,False,,110003,klassicheskaya-proza,Классическая проза,klassicheskaya-proza,2476323,"«Педагогическая поэма» — наиболее значительное произведение А. С. Макаренко. 
Педагог прибывает под Полтаву, чтобы организовать трудовую колонию для детей-беспризорников и уголовников. Перед ним стоит непростая задача — перевоспитать несовершеннолетних правонарушителей. И он с ней справляется блестяще.
Невозможно быть хорошим педагогом и воспитателем, не прочитав «Педагогическую поэму».",18,False,2476323,False,True,False,False,549,https://content.img-gorod.ru/nomenclature/24/763/2476323.jpg,,/nomenclature/24/763/2476323.jpg,,450,118732,ast,АСТ,4.32,19,False,False,False,,,canBuy,Педагогическая поэма,https://www.chitai-gorod.ru/product/pedagogicheskaya-poema-2476323,2021
Жюль Габриэль,599587,Верн,,vern-zhyul-gabriel,,,,,,,,,,,,,,,,False,,110018,priklyucheniya,Приключения,priklyucheniya,2862931,"Одно из лучших произведений в истории приключенческой литературы. Неоднократно экранизированный увлекательный роман, вот уже полтора века одинаково любимый читателями всех возрастов во всех странах мира. 
 
 Благородный лорд Гленарван и его жена Элен, рассеянный географ Паганель, отважный моряк Джон Мангле, майор Мак-Наббс, дети капитана Гранта — Мэри и Роберт — путешествуют на корабле вокруг света, пересекают Патагонию, Австралию, Новую Зеландию, спасаются от наводнения, сталкиваются с каторжниками, попадают в плен к людоедам... Найдут ли они потерпевшего кораблекрушение капитана Гранта?",18,False,2862931,False,True,False,False,599,https://content.img-gorod.ru/nomenclature/28/629/2862931.jpg,,/nomenclature/28/629/2862931.jpg,,494,154486,eksmo,Эксмо,4.33,42,False,False,False,,,canBuy,Дети капитана Гранта ,https://www.chitai-gorod.ru/product/deti-kapitana-granta-2862931,2021
Туве,570449,Янссон,,yansson-tuve,,,,,,,,,,,,,,,,False,,110093,skazki,Сказки,skazki,2657400,"Муми-троллям уже доводилось переезжать, а Муми-папа &ndash; тот вообще великий путешественник. Вот и сейчас, к концу лета, Муми-папа решил, что размеренная жизнь в Долине &ndash; не для его мятежной души. Его призвание &ndash; жить на острове с маяком, средь бушующего моря, и указывать путь кораблям. Cемейство отправляется в путь. Маяк на первый взгляд кажется довольно скучным и неуютным местом. Однако это только на первый взгляд. Ведь Муми-мама сумеет сделать уютным даже голый утес, а тайн, опасностей и бушующего моря семейству хватит надолго!",20,False,2657400,False,True,False,False,599,https://content.img-gorod.ru/nomenclature/26/574/2657400-1.jpg,,/nomenclature/26/574/2657400-1.jpg,,482,116515,azbuka,Азбука,4.48,23,False,False,False,,,canBuy,Папа и море,https://www.chitai-gorod.ru/product/papa-i-more-2657400,2021
Карин Дж.,3369130,Дель`Антониа,,del-antonia-karin-dzh,,,,,,,,,,,,,,,,False,,110130,psihologiya-vospitaniya-i-obucheniya-detej,Психология воспитания и обучения детей,psihologiya-vospitaniya-i-obucheniya-detej,2874947,"Бывший ведущий редактор родительского блога в New York Times, многодетная мама, написала руководство, как найти в повседневной жизни с детьми больше радости.
 Кей Делл' Антония собрала все практические рекомендации, к которым пришла за годы семейной жизни.
 Она вывела 10 законов счастливого родительства. 
 
 Обнаружила самые проблемные зоны для каждой семьи:
 ·       ранние сборы в садик, школу и на работу,
 ·       дисциплина по выполнению домашних обязанностей,
 ·       правила пользования гаджетами,
 ·       ссоры братьев и сестер,
 ·       самостоятельная подготовка уроков без родителей.
 
 И дала небольшие, выполнимые шаги, чтобы легко справляться с этими вызовами вместе с партнером.",76,False,2874947,False,True,False,False,599,https://content.img-gorod.ru/nomenclature/28/749/2874947.jpg,,/nomenclature/28/749/2874947.jpg,,141,120219,bombora,БОМБОРА,4.29,7,False,False,False,,,canBuy,"Я люблю их, когда они спят. 10 способов сделать свою жизнь с детьми проще и счастливее",https://www.chitai-gorod.ru/product/ya-lyublyu-ih-kogda-oni-spyat-10-sposobov-sdelat-svoyu-zhizn-s-detmi-proshche-i-schastlivee-2874947,2021
Д.,5161155,Алекс,,aleks-d,,,,,,,,,,,,,,,,False,,110016,lyubovnye-romany,Любовные романы,lyubovnye-romany,2884809,"Элинор — идеальная жена и мать двоих малышей — готовится отметить десятую годовщину семейной жизни, но вместо законного супруга застает в гостиной таинственного незнакомца, утверждающего, что он и есть ее муж. К ужасу Элинор, его слова подтверждают общие знакомые и близкие люди. Самое чудовищное в этом безумии — Эль пытаются убедить в том, что у нее никогда не было детей и три последних года она провела в своей мастерской, рисуя портреты мужа...",28,False,2884809,False,True,False,False,599,https://content.img-gorod.ru/nomenclature/28/848/2884809.jpg,,/nomenclature/28/848/2884809.jpg,,429,155410,yauza,Яуза,4.19,68,False,False,False,,,canBuy,Не он ,https://www.chitai-gorod.ru/product/ne-on-2884809,2021
Николас,596452,Спаркс,,sparks-nikolas,,,,,,,,,,,,,,,,False,,110016,lyubovnye-romany,Любовные романы,lyubovnye-romany,2850443,"Впервые на русском новинка от главного романтика современности и автора бестселлеров «Спеши любить», «Дневник памяти» и «Дорогой Джон». Николас Спаркс спешит рассказать очередную трогательную и пронзительную историю о любви, тайнах и прощении, которую вы захотите перечитывать снова и снова.

Военный хирург Тревор Бенсон возвращается домой из Афганистана после тяжелого ранения. Дома его никто не ждёт, но скромная хибара, доставшаяся в наследство от недавно умершего деда, не хуже других мест подходит для медленного восстановления и мрачных дум. Тревору не дают покоя странные обстоятельства смерти старика. Что заставило заядлого домоседа покинуть тихий южный городок? Как он оказался в соседнем штате, что он искал? Каких родственников просил найти на смертном одре?

Тревор ещё не подозревает, что скоро его ждёт встреча с двумя женщинами, которым суждено изменить его жизнь. Очаровательная Натали привлекает внимание мужчины с первого взгляда и вроде даже отвечает на его симпатии, но как-то избирательно. Почему она то принимает его ухаживания, то отдаляется от него? А юная угрюмая Келли сдружилась с его дедом в последние месяцы жизни старика и, возможно, знает что-то, что может пролить свет на обстоятельства его смерти. Однако юг хранит множество тайн и не спешит их раскрывать. Сможет ли Тревор разгадать все загадки, расстаться с прошлым и начать жизнь с чистого листа?",18,False,2850443,False,True,False,False,599,https://content.img-gorod.ru/nomenclature/28/504/2850443.jpg,,/nomenclature/28/504/2850443.jpg,,494,118732,ast,АСТ,3.88,66,False,False,False,,,canBuy,Возвращение,https://www.chitai-gorod.ru/product/vozvrashchenie-2850443,2021
Милена,567086,Завойчинская,Валерьевна,zavoychinskaya-milena,,,,,,,,,,,,,,,,False,,110005,fehntezi,Фэнтези,fehntezi,2842926,"Непросто быть знатным холостяком, пусть и обремененным сыном-подростком. Все-то хотят его женить. И королева, и мать, и даже призрак давнего предка.
Маркиз Риккардо ди Кассано попадает в неловкую ситуацию с толпой девиц, желающих стать его супругами. И всё бы ничего, сбежал бы, выкрутился, но тут сваливается как снег на голову еще одна невеста, некая Эрика ди Элдре. И вот тут уже не отвертеться. Да-да, за это стоит сказать «спасибо» предкам и маг
ическому брачному договору.
А что же Эрика? Она-то совсем не хочет замуж за непонятного маркиза. У нее своих проблем хватает, но как-то нужно выкручиваться. И два человека, которые совершенно не желают вступать в брак, заключают договор. Отныне Эрика — очень-очень личный ассистент его сиятельства. И ее первоочередная задача — спасти своего шефа от толпы невест. Ведь невест так много, а он один.",17,False,2842926,False,True,False,False,619,https://content.img-gorod.ru/nomenclature/28/429/2842926.jpg,,/nomenclature/28/429/2842926.jpg,,513,154486,eksmo,Эксмо,4.61,28,False,False,False,,,canBuy,"Невест так много, он один",https://www.chitai-gorod.ru/product/nevest-tak-mnogo-on-odin-2842926,2021
Франц,568901,Кафка,,kafka-franc,,,,,,,,,,,,,,,,False,,110003,klassicheskaya-proza,Классическая проза,klassicheskaya-proza,2864561,"Роман о последнем годе жизни Йозефа К., увязшего в жерновах тупой и безжалостной судебной машины, — нелицеприятный портрет бюрократии, знакомой читателям XXI века не хуже, чем современникам Франца Кафки, и метафора монотонной человеческой жизни без радости, любви и смысла. Банковского управляющего К. судят, но непонятно за что. Герой не в силах добиться справедливости, не отличает манипуляции от душевной теплоты, а добросовестность — от произвола чиновников и до последнего вздоха принимает свое абсурдное состояние как должное. Новый перевод «Процесса», выполненный Леонидом Бершидским, дополнен фрагментами черновиков Франца Кафки, ранее не публиковавшимися в составе романа. Он заново выстраивает хронологию несчастий К. и виртуозно передает интонацию оригинального текста: «негладкий, иногда слишком формальный, чуть застенчивый немецкий гениального пражского еврея».",22,False,2864561,False,True,False,False,659,https://content.img-gorod.ru/nomenclature/28/645/2864561.jpg,,/nomenclature/28/645/2864561.jpg,,516,117256,alpina-pablisher,Альпина Паблишер,4.13,100,False,False,False,,,canBuy,Процесс,https://www.chitai-gorod.ru/product/process-2864561,2021
,,,,,,,,,,,,,,,,,,,,False,,110341,zhivopis-i-grafika-tekhniki-i-priemy,Живопись и графика. Техники и приемы,zhivopis-i-grafika-tekhniki-i-priemy,2603910,"Врожденный ли вы художник с особым талантом, профессиональный живописец или начинающий любитель, только осваивающий основы рисования? И в том и в другом случае вы обретете под ногами твердую почву и перестанете быть простым копиистом, если овладеете знаниями по пластической анатомии. Любой художник знает, что без знания анатомии невозможно верно передать особенности фигуры человека, характер его движений, а также облик и повадки животных. 

Авторы этой книги – известные художники создали ряд анатомических рисунков, набросков и схем, которые помогут вам понять основы анатомии, познакомят с важнейшими законами строения тела, которые позволят с легкостью изобразить костную и мускульные системы мужчины, женщины, ребенка и животного. 

Овладев этими знаниями даже начинающий художник сможет добиться любой степени реализма.",18,False,2603910,False,True,False,False,659,https://content.img-gorod.ru/nomenclature/26/039/2603910.jpg,,/nomenclature/26/039/2603910.jpg,,538,139227,ogiz,ОГИЗ,4.05,37,False,False,False,,,canBuy,Анатомия для художников,https://www.chitai-gorod.ru/product/anatomiya-dlya-hudozhnikov-2603910,2021
Николас,5941890,Смит,С.,smit-nikolas,,,,,,,,,,,,,,,,False,,110006,fantasticheskij-boevik,Фантастический боевик,fantasticheskij-boevik,2838392,"Третья мировая война закончилась больше двух столетий назад. Планета отравлена.
Люди на двух огромных дирижаблях кружат над земным шаром в поисках места, пригодного для жизни. Места, которое можно было бы назвать своим домом.
Осталось всего два воздушных корабля, остальные давно упали на землю. «Улей» и «Арго» держатся в небе лишь благодаря хеллдайверам, которые, рискуя жизнью, спускаются на поверхность Земли, чтобы найти необходимые детали.
Во время очередного спуска в Аид — зону, где царит лютый холод и в темноте бродят жуткие мутанты, — команда хеллдайверов обнаруживает нечто ужасное — то, что угрожает и без того хрупкому будущему человечества.",70,False,2838392,False,True,False,False,699,https://content.img-gorod.ru/nomenclature/28/383/2838392.jpg,,/nomenclature/28/383/2838392.jpg,,209,118732,ast,АСТ,4.36,14,False,False,False,,,canBuy,Hell Divers. Адские ныряльщики,https://www.chitai-gorod.ru/product/hell-divers-adskie-nyryalshchiki-2838392,2021
