word,stressed_letter,stressed_letter_index
абажур,у,4
аббат,а,3
аббатство,а,3
аббревиатура,у,9
абвер,,-1
аберрация,а,5
абзац,а,3
абитуриент,е,7
абонемент,е,6
абонементный,е,6
абонент,е,4
абонентский,е,4
абордаж,а,5
абориген,е,6
аборт,о,2
абразивный,и,5
абракадабра,а,7
Абрам,а,3
абрек,е,3
абрикос,о,5
абрикосовый,о,5
абрис,а,0
абсент,е,3
абсолют,ю,5
абсолютизация,а,9
абсолютизировать,и,9
абсолютизм,и,7
абсолютность,ю,5
абсорбент,е,6
абсорбция,о,3
абстрагирование,и,7
абстрагировать,и,7
абстрагироваться,и,7
абстракционизм,и,11
абстракционист,и,11
абстракция,а,5
абсурд,у,3
абсурдность,у,3
абсцесс,е,4
абсцисса,и,4
абхаз,а,3
абхазец,а,3
абы,,-1
авангард,а,5
авангардизм,и,8
авангардист,и,8
авангардистский,и,8
авангардный,а,5
аванс,а,2
авансовый,а,2
авансцена,е,6
авантюра,ю,5
авантюризм,и,7
авантюрист,и,7
авантюристка,и,7
аварийность,и,4
аварийный,и,4
авария,а,2
авва,а,0
Аввакум,у,5
августейший,е,6
Авель,а,0
авеню,ю,4
авиа,а,0
авиабаза,а,5
авиабилет,е,7
авиабомба,о,5
авиадвигатель,и,6
авиадиспетчер,е,8
авиазавод,о,7
авиакатастрофа,о,11
авиакомпания,а,8
авиаконструктор,у,10
авиакосмический,и,8
авиалайнер,а,5
авиалиния,и,5
авианосец,о,5
авианосный,о,5
авиаотряд,я,7
авиапредприятие,я,11
авиапромышленность,ы,8
авиарейс,е,5
авиасалон,о,7
авиастроение,е,8
авиастроитель,и,8
авиастроительный,и,8
авиатехник,е,5
авиатор,а,3
авиационный,о,6
авиация,а,3
авиетка,е,3
авионика,о,3
авитаминоз,о,8
авокадо,а,4
авось,о,2
авоська,о,2
аврал,а,3
авральный,а,3
Аврора,о,3
австралиец,и,7
австриец,и,5
авто,о,3
автобаза,а,5
автобан,а,5
автобиографический,и,11
автобиография,а,9
автобус,о,3
автобусный,о,3
автовладелец,е,8
автовокзал,а,8
автоген,е,5
автогигант,а,7
автогонки,о,5
автогонщик,о,5
автограф,о,3
автодорога,о,7
автодорожный,о,7
автодром,о,6
автозавод,о,7
автозаводец,о,7
автозаправка,а,8
автозаправочный,а,8
автозапчасти,а,8
автоинспектор,е,8
автоинспекция,е,8
автокатастрофа,о,11
автоклав,а,6
автоколонна,о,7
автокомбинат,а,10
автокран,а,6
автолавка,а,5
автолюбитель,и,7
автомагистраль,а,11
автомат,а,5
автоматизация,а,9
автоматизировать,и,9
автоматизм,и,7
автоматика,а,5
автоматически,и,7
автоматический,и,7
автоматный,а,5
автоматчик,а,5
автомашина,и,7
автомеханик,а,7
автомобилестроение,е,14
автомобилизация,а,11
автомобилист,и,9
автомобиль,и,7
автомобильный,и,7
автомобильчик,и,7
автономия,о,5
автономность,о,5
автоответчик,е,7
автопарк,а,5
автопилот,о,7
автопоезд,о,5
автопортрет,е,9
автор,а,0
авторемонтный,о,7
автореферат,а,9
авторизация,а,7
авторитаризм,и,9
авторитарность,а,7
авторитет,е,7
авторитетность,е,7
авторский,а,0
авторство,а,0
авторучка,у,5
авторынок,ы,5
автосалон,о,7
автосамосвал,а,10
автосервис,е,5
автослесарь,е,6
автоспорт,о,6
автостанция,а,6
автостоп,о,6
автостоянка,я,7
автострада,а,7
автотранспорт,а,6
автотранспортный,а,6
автотрасса,а,6
автофургон,о,8
автохозяйство,я,7
автоцистерна,е,8
автошкола,о,6
ага,а,0
ага,а,0
ага,а,0
агар,а,2
агат,а,2
Агата,а,2
агенс,а,0
агент,е,2
агентский,е,2
агентство,е,2
агентура,у,5
агентурный,у,5
агитатор,а,4
агитационный,о,7
агитация,а,4
агитировать,и,4
агитка,и,2
агитпроп,о,6
агитпункт,у,5
агломерат,а,7
агломерация,а,7
агнец,а,0
агностик,о,3
агонизировать,и,6
агония,о,2
аграрий,а,3
аграрный,а,3
агрегат,а,5
агрегатный,а,5
агрегирование,и,5
агрессивность,и,6
агрессия,е,3
агрессор,е,3
агролесомелиоративный,и,16
агроном,о,5
агрономический,и,7
агрономия,о,5
агропром,о,6
агропромышленный,ы,8
агротехника,е,5
агротехнический,и,8
ад,а,0
Ада,а,0
адажио,а,2
Адам,а,2
адаптационный,о,8
адаптация,а,5
адаптер,а,2
адаптивность,и,5
адаптировать,и,5
адаптироваться,и,5
адвокат,а,5
адвокатский,а,5
адвокатура,у,7
адгезия,е,3
адекватность,а,5
аденома,о,4
адепт,е,2
административный,и,11
администратор,а,9
администраторша,а,9
администрация,а,9
администрирование,и,9
адмирал,а,5
адмиралтейский,е,8
адмиралтейство,,-1
адмиральский,а,5
адов,а,0
адреналин,и,7
адрес,а,0
адресат,а,5
адресный,а,0
адресовать,а,7
адресоваться,а,7
адресок,о,5
адский,а,0
адсорбировать,и,6
адсорбционный,о,8
адсорбция,о,3
адъютант,а,5
адюльтер,е,6
аж,а,0
ажиотаж,а,5
ажур,у,2
ажурный,у,2
аз,а,0
аз,а,0
азарт,а,2
азбука,а,0
азбучный,а,0
азербайджанец,а,9
азимут,а,0
азот,о,2
азотный,о,2
аи,и,1
Аида,и,1
аир,и,1
аист,а,0
ай,а,0
айва,а,3
айда,а,3
айкидо,о,5
айсберг,а,0
академгородок,о,11
академизм,и,6
академик,е,4
академический,и,6
академия,,-1
акафист,а,2
акация,а,2
акваланг,а,5
аквалангист,и,8
аквапарк,а,5
акварель,е,5
акварельный,е,5
аквариум,а,3
аквариумный,а,3
акватория,о,5
акведук,у,5
аки,а,0
акклиматизация,а,10
акклиматизироваться,и,10
аккомпанемент,е,10
аккомпаниатор,а,9
аккомпанировать,и,8
аккорд,о,3
аккордеон,о,7
аккордеонист,и,9
аккредитация,а,8
аккредитив,и,8
аккредитивный,и,8
аккредитовать,а,10
аккумулирование,и,7
аккумулировать,и,7
аккумулироваться,и,7
аккумулятор,я,7
аккумуляторный,я,7
аккумуляция,я,7
аккурат,а,5
аккурат,а,5
аккуратненький,а,5
аккуратность,а,5
акмеизм,и,4
акмеист,и,4
аконит,и,4
акр,а,0
акрил,и,3
акриловый,и,3
акробат,а,5
акробатика,а,5
акробатический,и,7
акрополь,,-1
акростих,,-1
аксакал,а,5
акселератор,а,7
акселерация,а,7
аксель,а,0
аксиологический,и,8
аксиома,о,4
аксиоматический,и,8
аксон,о,3
акт,а,0
актант,а,3
актив,и,3
активатор,а,5
активация,а,5
активизация,а,7
активизировать,и,7
активизироваться,и,7
активировать,и,5
активист,и,5
активистка,и,5
активность,и,3
актинидия,и,5
актовый,а,0
актриса,и,4
актуализация,а,8
актуализировать,и,8
актуализироваться,и,8
актуальность,а,4
акула,у,2
акулий,у,2
акустика,у,2
акустический,и,5
акушер,е,4
акушерка,е,4
акушерский,е,4
акушерство,е,4
акцент,е,3
акцентирование,и,6
акцентировать,и,6
акцентуация,а,7
акцепт,е,3
акцептор,е,3
акциз,и,3
акцизный,и,3
акционер,е,6
акционерный,е,6
акционирование,и,6
акционировать,и,6
акция,а,0
акын,ы,2
албанец,а,3
алгебра,а,0
алгебраический,и,7
алгоритм,и,5
алгоритмический,и,8
алебарда,а,4
алебастровый,а,4
Алевтина,и,5
Александр,а,5
Александра,а,5
александрит,и,9
Алексей,е,5
Алексий,и,5
аленький,а,0
алеть,е,2
алжирец,и,3
алиби,а,0
алименты,е,4
Алина,и,2
Алиса,и,2
алкать,а,3
алкаш,а,3
алкоголизм,и,7
алкоголик,о,5
алкоголичка,и,7
алкоголь,о,5
алкогольный,о,5
Алла,а,0
алле,е,3
аллегорический,и,7
аллегория,о,5
аллейка,е,3
аллерген,е,6
аллергик,е,3
аллергический,и,6
аллергия,и,6
аллея,е,3
аллигатор,а,5
аллилуйя,у,5
аллитерация,а,7
алло,о,3
аллюзия,ю,3
аллюр,ю,3
алмаз,а,3
алмазный,а,3
алоэ,о,2
алтарный,а,3
алтарь,а,3
алтын,ы,3
алфавит,и,5
алфавитный,и,5
алхимик,и,3
алхимический,и,5
алхимия,и,3
алчность,а,0
алыча,а,4
альбатрос,о,7
Альберт,е,4
альбинос,о,6
альбом,о,4
альбомный,о,4
альбомчик,о,4
альвеолярный,я,7
альков,о,4
альманах,а,6
альпинарий,а,6
альпинизм,и,6
альпинист,и,6
альпинистский,и,6
альт,а,0
альтернатива,и,9
альтист,и,4
альтовый,о,4
альтруизм,и,6
альтруист,и,6
альтруистический,и,9
альфа,а,0
альфа,а,0
Альфред,е,5
альянс,я,3
алюминиевый,и,4
алюминий,и,4
аляповатый,а,6
амальгама,а,6
амба,а,0
амбал,а,3
амбар,а,3
амбарный,а,3
амбивалентность,е,7
амбициозность,о,6
амбиция,и,3
амбразура,у,6
амброзия,о,4
амбулатория,о,7
амбулаторный,о,7
амвон,о,3
Амвросий,о,4
Америка,е,2
американец,а,6
американизм,и,8
американка,а,6
аметист,и,4
аминокислотный,о,9
аминь,и,2
аминь,и,2
аммиак,а,4
аммиачный,а,4
аммоний,о,3
амнезия,и,5
амнистировать,и,6
амнистия,и,3
амок,а,0
аморализм,и,6
аморалка,а,4
аморальность,а,4
амортизатор,а,7
амортизационный,о,10
амортизация,а,7
амортизировать,и,7
амперметр,е,6
ампир,и,3
ампирный,и,3
амплитуда,у,6
амплитудный,у,6
амплификация,а,8
амплуа,а,5
ампула,а,0
ампутация,а,5
ампутировать,и,5
амрита,а,0
амулет,е,4
амуниция,и,4
амурный,у,2
амфибия,и,3
амфитеатр,а,6
амфора,а,0
ан,а,0
анабиоз,о,5
анаболический,и,6
анаграмма,а,5
анаконда,о,4
анализ,а,2
анализатор,а,6
анализировать,и,6
анализироваться,и,6
аналитик,и,4
аналитика,и,4
аналитический,и,6
аналог,а,2
аналогия,о,4
аналоговый,а,2
аналой,о,4
анальгин,и,6
анальный,а,2
анамнез,а,2
ананас,а,4
анархизм,и,5
анархист,и,5
анархический,и,5
анархия,а,2
Анастасия,и,7
Анатолий,о,4
анатом,а,2
анатомический,и,6
анатомичка,и,6
анатомия,о,4
анафема,а,2
анахронизм,и,7
анаша,а,4
анаэробный,о,5
ангажемент,е,7
ангажированность,и,5
ангажировать,и,5
ангар,а,3
ангел,а,0
Ангелина,и,5
ангелочек,о,5
ангельский,а,0
ангидрит,и,6
ангина,и,3
англиканский,а,6
англичанин,а,6
англичанка,а,6
англосаксонский,о,9
англоязычный,ы,7
андерграунд,а,7
Андрей,е,4
анекдот,о,5
анекдотический,и,7
анемия,и,4
анестезиолог,о,8
анестезия,и,7
Анжелика,и,5
анизотропия,и,9
анизотропный,о,7
аниматор,а,4
анимационный,о,7
анимация,а,4
анион,о,3
анис,и,2
анкета,е,3
анкетирование,и,5
анкетный,е,3
анклав,а,4
Анна,а,0
анналы,а,3
аннексия,е,3
аннигиляция,я,7
аннотация,а,5
аннулирование,и,5
аннулировать,и,5
анод,о,2
анодный,о,2
аномалия,а,4
аномальный,а,4
аномия,и,4
аноним,и,4
анонимка,и,4
анонимность,и,4
анонимный,и,4
анонс,о,2
анонсировать,и,5
ансамблевый,а,3
ансамбль,а,3
антагонизм,и,7
антагонист,и,7
антагонистический,и,10
антенна,е,3
антенный,е,3
антиалкогольный,о,9
антиамериканизм,и,12
антиамериканский,а,10
антибактериальный,а,11
антибиотик,о,6
антивещество,о,11
антивирусный,и,5
антивоенный,е,6
антигенный,е,5
антигерой,о,7
антигитлеровский,и,5
антиглобалист,и,10
антигосударственный,а,9
антидемпинговый,е,5
антидепрессант,а,11
антидопинговый,о,5
антизападный,а,5
антиимпериалистический,и,15
антиквар,а,6
антиквариат,а,9
антикварный,а,6
антикоммунизм,и,10
антикоммунист,и,10
антикоммунистический,и,13
антикоррозийный,и,10
антикоррозионный,о,11
антикоррупционный,о,12
антикризисный,и,6
антилопа,о,5
антимикробный,о,8
антимир,и,5
антимонопольный,о,9
антинаркотический,и,10
антиномия,о,5
антиоксидант,а,9
антипатия,а,5
антипод,о,5
антиправительственный,и,8
антирабический,и,7
антироссийский,и,8
антирусский,у,5
антисанитария,и,11
антисемит,и,7
антисемитизм,и,9
антисемитский,и,7
антисептик,е,5
антисептический,и,8
антисоветский,е,7
антисоветчик,е,7
антисоветчина,е,7
антисталинист,и,10
антисталинский,а,6
антитеза,е,5
антитеррор,о,8
антитеррористический,и,13
антиутопия,о,6
антифашист,и,7
антифашистский,и,7
антифон,о,5
антифриз,и,6
античастица,и,8
античность,и,3
античный,и,3
антология,о,5
Антон,о,3
Антонина,и,5
антоновка,о,3
антракт,а,4
антрацит,и,6
антрекот,о,6
антреприза,и,7
антресоли,о,6
антропогенный,е,8
антрополог,о,6
антропологический,и,10
антропология,о,8
антропоморфный,о,8
антураж,а,5
анфас,а,3
анфилада,а,5
анчар,а,3
анчоус,о,3
аншлаг,а,4
АО,о,1
аорта,о,1
апартаменты,,-1
апартеид,и,6
апатит,и,4
апатия,а,2
апач,а,2
апеллировать,и,5
апелляционный,о,8
апелляция,я,5
апельсин,и,6
апельсиновый,и,6
аперитив,и,6
апертура,у,5
апикальный,а,4
аплодировать,и,5
аплодисменты,е,8
апломб,о,3
апогей,е,4
апокриф,о,2
апокрифический,и,7
аполитичность,и,6
Аполлон,о,5
апологет,е,6
апологетика,е,6
апологетический,и,8
апология,о,4
апостол,о,2
апостольский,о,2
апофеоз,о,5
аппарат,а,5
аппаратная,а,5
аппаратный,а,5
аппаратура,у,7
аппаратурный,у,7
аппаратчик,а,5
аппендикс,е,3
аппендицит,и,8
аппетит,и,5
аппликация,а,6
аппроксимация,а,9
апрель,е,3
априори,о,4
апробация,а,5
апробировать,и,5
апсида,и,3
аптека,е,3
аптекарский,е,3
аптекарь,е,3
аптечка,е,3
аптечный,е,3
апчхи,и,4
ар,а,0
ара,а,0
арак,а,2
арамейский,е,4
аранжировать,и,5
аранжировка,о,7
арап,а,2
арат,а,2
арахис,а,2
арба,а,3
арбалет,е,5
арбитр,и,3
арбитраж,а,6
арбитражный,а,6
арбовирусный,и,5
арбуз,у,3
арго,о,3
аргон,о,3
аргумент,е,5
аргументация,а,8
аргументировать,и,8
ареал,а,3
арена,е,2
аренда,е,2
арендатор,а,5
арендный,е,2
арендовать,а,7
арендодатель,а,7
ареопаг,а,5
арест,е,2
арестант,а,5
арестантский,а,5
арестовать,а,7
арестовывать,о,5
арестовываться,о,5
Ариадна,а,3
Арина,и,2
аристократ,а,8
аристократизм,и,10
аристократический,и,10
аристократия,а,8
аристократка,а,8
аритмия,и,5
арифметика,е,5
арифметический,и,7
арифмометр,о,5
арка,а,0
аркада,а,3
Аркадий,а,3
аркан,а,3
армада,а,3
арматура,у,5
арматурный,у,5
армеец,е,3
армейский,е,3
армирование,и,3
армировать,и,3
армия,а,0
армяк,я,3
армянка,я,3
Арнольд,о,3
аромат,а,4
ароматерапия,и,10
ароматизатор,а,8
ароматический,и,6
арочный,а,0
арсенал,а,5
арсенальный,а,5
Арсений,е,3
артачиться,а,3
артезианский,а,6
артель,е,3
артельный,е,3
артельщик,е,3
артериальный,а,6
артерия,е,3
артефакт,а,5
артикул,и,3
артикулировать,и,7
артикуляция,я,7
артиллерийский,и,8
артиллерист,и,8
артиллерия,е,6
артист,и,3
артистизм,и,6
артистический,и,6
артистичность,и,6
артистка,и,3
артобстрел,е,8
артподготовка,о,9
артрит,и,4
Артур,у,3
арфа,а,0
архаизм,и,4
архаика,а,3
архаический,и,4
архангел,а,3
археолог,о,4
археологический,и,8
археология,о,6
архетип,и,5
архив,и,3
архивариус,а,5
архивист,и,5
архивный,и,3
архиепископ,и,6
архиерей,е,6
архиерейский,е,6
архимандрит,и,9
архипастырский,а,5
архипастырь,а,5
архипелаг,а,7
архистратиг,и,9
архитектоника,о,8
архитектор,е,5
архитектура,у,8
архитектурный,у,8
аршин,и,3
аршинный,и,3
арык,ы,2
арьергард,а,6
ас,а,0
асбест,е,3
асбестовый,е,3
асимметрия,и,8
аскеза,е,3
аскер,а,0
аскет,е,3
аскетизм,и,5
аскетический,и,5
аспект,е,3
аспид,а,0
аспирант,а,5
аспирантка,а,5
аспирантский,а,5
аспирантура,у,8
аспирин,и,5
асс,а,0
ассамблея,,-1
ассенизатор,а,7
ассигнация,а,6
ассигнование,а,8
ассигновать,а,8
ассимилировать,и,7
ассимилироваться,и,7
ассимиляция,я,7
ассириец,и,5
ассистент,е,6
ассистентка,е,6
ассистировать,и,6
ассорти,и,6
ассортимент,е,8
ассортиментный,е,8
ассоциация,а,6
ассоциировать,и,6
ассоциироваться,и,6
астероид,о,5
астма,а,0
астматик,а,4
астматический,и,6
астрал,а,4
астральный,а,4
астролог,о,4
астрологический,и,8
астрология,о,6
астронавт,а,6
астроном,о,6
астрономический,и,8
астрономия,о,6
астрофизик,и,6
астрофизика,и,6
астрофизический,и,8
АСУ,у,2
асфальт,а,3
асфальтировать,и,7
асфальтовый,а,3
атавизм,и,4
атака,а,2
атаковать,а,6
атаман,а,4
атас,а,2
атеизм,и,3
атеист,и,3
атеистический,и,6
ателье,е,5
атеросклероз,о,10
атипичный,и,4
атлас,а,3
атлет,е,3
атлетика,е,3
атлетический,и,5
атмосфера,е,6
атмосферный,е,6
атолл,о,2
атом,а,0
атомарный,а,4
атомный,а,0
атомоход,о,6
атомщик,а,0
атрибут,у,5
атрибутивный,и,7
атрибутика,у,5
атрибуция,у,5
атрофироваться,и,5
атрофия,и,5
атташе,е,5
аттенуация,а,6
аттестат,а,6
аттестационный,о,9
аттестация,а,6
аттестовать,а,8
аттитюд,ю,5
аттракцион,о,8
ау,у,1
аудиенция,е,4
аудиовизуальный,а,9
аудиозапись,а,6
аудиокассета,е,9
аудиосистема,е,9
аудит,и,3
аудитор,и,3
аудитория,о,5
аудиторский,и,3
аукаться,у,1
аукнуться,у,1
аукцион,о,5
аукционный,о,5
аул,у,1
аура,а,0
аут,а,0
аутодафе,е,7
аутоиммунный,у,7
аутотренинг,е,6
аутсайдер,а,4
Афанасий,а,4
афера,е,2
аферист,и,4
аферистка,и,4
афиша,и,2
афишировать,и,4
афишироваться,и,4
афишка,и,2
афишный,и,2
афоризм,и,4
африканец,а,5
аффект,е,3
аффектация,а,6
аффективный,и,6
аффинный,и,3
ах,а,0
ахать,а,0
ахилл,и,2
ахинея,е,4
ахнуть,а,0
аховый,а,0
ахти,и,3
ацетат,а,4
ацетон,о,4
ашрам,а,3
аэрация,а,3
аэробика,о,3
аэробный,о,3
аэробус,о,3
аэровокзал,а,8
аэрогенный,е,5
аэродинамика,а,7
аэродинамический,и,9
аэродром,о,6
аэродромный,о,6
аэрозоль,о,5
аэрозольный,о,5
аэроклуб,у,6
аэрокосмический,и,8
аэроплан,а,6
аэропорт,о,5
аэростат,а,6
АЭС,э,1
аят,я,1
аятолла,а,6
ба,а,1
баба,а,1
бабах,а,3
бабахнуть,а,3
бабий,а,1
бабища,а,1
бабка,а,1
бабкин,а,1
бабник,а,1
бабонька,а,1
бабочка,а,1
бабский,а,1
бабулька,у,3
бабуля,у,3
бабуся,у,3
бабушка,а,1
бабушкин,а,1
багаж,а,3
багажник,а,3
багажный,а,3
багет,е,3
багор,о,3
багроветь,е,6
багровый,о,4
багряный,я,4
багульник,у,3
бадминтон,о,7
бадья,я,4
база,а,1
базальный,а,3
базальт,а,3
базальтовый,а,3
базар,а,3
базарить,а,3
базарный,а,3
базарчик,а,3
базилик,и,5
базилика,,-1
базирование,и,3
базироваться,и,3
базис,а,1
базисный,а,1
базовый,а,1
баиньки,а,1
бай,а,1
байдара,а,4
байдарка,а,4
байка,а,1
байкер,а,1
байковый,а,1
байт,а,1
бак,а,1
бакалавр,а,5
бакен,а,1
баклажан,а,6
баклан,а,4
баклуша,у,4
бактериальный,а,7
бактериологический,и,11
бактерицидный,и,8
бал,а,1
балаболка,о,5
балаган,а,5
балаганный,а,5
балаганчик,а,5
балагур,у,5
балагурить,у,5
балакать,а,3
балалаечник,а,5
балалайка,а,5
баланда,а,3
баланс,а,3
балансирование,и,6
балансировать,и,6
балансировка,о,8
балансовый,а,3
балахон,о,5
балбес,е,4
балда,а,4
балдахин,и,6
балдеть,е,4
балерина,и,5
балет,е,3
балетмейстер,е,6
балетный,е,3
балка,,-1
балкон,о,4
балконный,о,4
балкончик,о,4
балл,а,1
баллада,а,4
балласт,а,4
баллистика,и,4
баллистический,и,7
баллон,о,4
баллончик,о,4
баллотироваться,и,6
баловать,а,5
баловаться,а,5
баловень,а,1
баловство,о,8
балык,ы,3
бальзам,а,5
бальзамин,и,7
балюстрада,а,7
балясина,я,3
бамбук,у,4
бамбуковый,у,4
бампер,а,1
банальность,а,3
банан,а,3
банановый,а,3
банда,а,1
бандаж,а,4
бандгруппа,у,6
бандеровец,е,4
бандероль,о,6
банджо,а,1
бандит,и,4
бандитизм,и,6
бандитский,и,4
бандура,у,4
бандформирование,а,12
бандюга,ю,4
банк,а,1
банка,а,1
банкет,е,4
банкетка,е,4
банкетный,е,4
банкир,и,4
банкирский,и,4
банковский,а,1
банкомат,а,6
банкрот,о,5
банкротить,о,5
банкротство,о,5
баннер,а,1
баннерный,а,1
банный,а,1
баночка,а,1
баночный,а,1
бант,а,1
бантик,а,1
банщик,а,1
банька,а,1
баня,а,1
баобаб,а,4
баптист,и,4
баптистский,и,4
барабан,а,5
барабанить,а,5
барабанный,а,5
барабанчик,а,5
барабанщик,а,5
барак,а,3
баран,а,3
бараний,а,3
баранина,а,3
баранка,а,3
барахлить,и,6
барахлишко,и,6
барахло,о,6
барахолка,о,5
барахтаться,а,3
барачный,а,3
барашек,а,3
барашковый,а,3
барбарис,и,6
барбекю,ю,6
бард,а,1
бардак,а,4
бардачок,о,6
барельеф,е,6
баржа,,-1
барий,а,1
барин,а,1
барионный,о,4
баритон,о,5
баритональный,а,7
барк,а,1
барка,а,1
баркан,а,4
баркас,а,4
бармен,а,1
барменша,а,1
барный,а,1
барокамера,а,5
барокко,о,3
барокко,о,3
барометр,о,3
барон,о,3
баронесса,е,5
барракуда,у,6
баррель,а,1
баррикадный,а,6
барс,а,1
барский,а,1
барство,а,1
барсук,у,4
барсучий,у,4
бартер,а,1
бартерный,а,1
бархан,а,4
бархат,а,1
бархатистый,и,6
бархатный,а,1
бархатцы,а,1
бархотка,о,4
барчук,у,4
барщина,а,1
барыга,ы,3
барыня,а,1
барыш,ы,3
барышня,а,1
барьер,е,4
барьерный,е,4
бас,а,1
басистый,и,3
басить,и,3
баскет,а,1
баскетбол,о,7
баскетболист,и,9
баскетбольный,о,7
басмач,а,4
басня,а,1
басовитый,и,5
басовый,о,3
басок,о,3
бассейн,е,4
бассейновый,е,4
баста,а,1
бастион,о,5
бастовать,а,6
басурман,а,6
бат,а,1
баталия,а,3
батальный,а,3
батальон,о,6
батальонный,о,6
батарейка,е,5
батарейный,е,5
батарея,е,5
батенька,а,1
батискаф,а,6
батист,и,3
батистовый,и,3
батог,о,3
батожок,о,5
батон,о,3
батоно,о,3
батончик,о,3
батрак,а,4
батрачить,а,4
баттерфляй,я,8
батут,у,3
батыр,ы,3
батька,а,1
батюшка,а,1
батюшки,а,1
батя,а,1
батяня,я,3
баул,у,2
бах,а,1
бахвалиться,а,4
бахвальство,а,4
бахилы,и,3
бахрома,а,6
бахромчатый,о,4
бахча,а,4
бац,а,1
бац,а,1
бачки,а,1
бачок,о,3
башенка,а,1
башенный,а,1
башибузук,у,7
башка,а,4
башковитый,и,6
башлык,ы,4
башня,а,1
баштан,а,4
баюкать,ю,2
баядерка,е,4
баян,я,2
баянист,и,4
баять,а,1
бдение,е,2
бдеть,е,2
бдительность,и,2
бег,е,1
бега,а,3
бегать,е,1
бегемот,о,5
беглец,е,4
беглость,е,1
беглый,е,1
беглянка,я,4
беговой,о,5
бегом,о,3
бегония,о,3
беготня,я,6
бегство,е,1
бегун,у,3
бегучий,у,3
беда,а,3
беда,а,3
бедлам,а,4
беднейший,е,4
бедненький,е,1
беднеть,е,4
бедность,е,1
беднота,а,6
бедняга,я,4
бедняжка,я,4
бедняк,я,4
бедняцкий,я,4
бедовый,о,3
бедолага,а,5
бедренный,е,1
бедро,о,4
бедствие,е,1
бедствовать,е,1
бедуин,и,4
бежать,а,3
бежевый,е,1
беженец,е,1
беженка,е,1
безаварийный,и,7
безадресный,а,3
безалаберность,а,5
безалкогольный,о,8
безапелляционность,о,11
безбилетник,е,6
безбилетный,е,6
безбожие,о,4
безбожник,о,4
безболезненно,е,6
безбородый,о,6
безбоязненно,я,5
безбрачие,а,5
безверие,е,4
безвестность,е,4
безветрие,е,4
безвизовый,и,4
безвинно,и,4
безвкусица,у,5
безвластие,а,5
безвоздушный,у,7
безволие,о,4
безволосый,о,6
безвредность,е,5
безвременно,е,5
безвременье,е,5
безвыходность,ы,4
безглазый,а,5
безголовый,о,6
безголосый,о,6
безграмотность,а,5
безграничность,и,7
бездарность,а,4
бездарь,е,1
бездействие,е,4
бездействовать,е,4
безделица,е,4
безделушка,у,6
безделье,е,4
бездельник,е,4
бездельничать,е,4
безденежье,е,4
бездеятельность,е,4
бездна,е,1
бездомность,о,4
бездорожье,о,6
бездумье,у,4
бездуховность,о,6
бездушие,у,4
бездымный,ы,4
безжалостность,а,4
безжизненно,и,4
беззаботность,о,6
беззаконие,о,6
беззастенчивый,е,7
беззащитность,и,6
беззубый,у,4
безликий,и,4
безликость,и,4
безлошадный,а,6
безлюдье,ю,4
безмерность,е,4
безмозглый,о,4
безмолвие,о,4
безмолвствовать,о,4
безмятежность,е,6
безнадзорность,о,7
безнаказанно,а,6
безнаказанность,а,6
безналичный,и,6
безногий,о,4
безнравственность,а,5
безобразие,а,6
безобразничать,а,6
безопасность,а,5
безответственно,е,6
безответственность,е,6
безотзывный,ы,6
безотказность,а,6
безотходный,о,6
безотцовщина,о,6
безработица,о,6
безработный,о,6
безработный,о,6
безразличие,и,7
безрассудство,у,7
безрукавка,а,6
безрукий,у,4
безрыбье,ы,4
безукоризненно,и,7
безумец,у,3
безумие,у,3
безумство,у,3
безумствовать,у,3
безупречность,е,6
безусловность,о,6
безусый,у,3
безъядерный,я,4
безысходность,о,6
бейсбол,о,5
бейсболка,о,5
бейсбольный,о,5
бек,е,1
бекеша,е,3
бекон,о,3
беленький,е,1
белеть,е,3
белиберда,а,8
белизна,а,6
белила,и,3
белить,и,3
беличий,е,1
белка,е,1
белковый,о,4
Белла,е,1
беллетрист,и,7
беллетристика,и,7
беллетристический,и,10
белобрысый,ы,6
беловатый,а,5
белогвардеец,е,9
белогвардейский,е,9
белоголовый,о,7
белозубый,у,5
белок,о,3
белокаменный,а,5
белокочанный,а,7
белокурый,у,5
белолицый,и,5
беломраморный,а,6
белоручка,у,5
белочка,е,1
белоэмигрант,а,9
белуга,у,3
бельведер,,-1
бельгиец,и,5
бельишко,и,4
бельмо,о,5
бельэтаж,а,6
беляк,я,3
бенефис,и,5
бензин,и,4
бензиновый,и,4
бензобак,а,6
бензовоз,о,6
бензоколонка,о,8
бензол,о,4
бензопила,а,8
берданка,а,4
берег,,-1
берегиня,и,5
береговой,о,7
бередить,и,5
бережливость,и,6
бережливый,и,6
бережок,о,5
березняк,я,6
беременеть,е,3
беременность,е,3
берендеев,е,6
бересклет,е,7
берестяной,о,8
берет,е,3
беретик,е,3
беретка,е,3
беречь,е,3
беречься,е,3
бериллий,и,3
беркут,е,1
берлинец,и,4
берлога,о,4
Бернар,а,4
